2024-12-27T05:39:40.490288Z [rsession-ahmed] ERROR system error 5 (Input/output error) [what: basic_filebuf::underflow error reading the file: Is a directory, path: /home/ahmed/learning/r-basics, dcf-file: /home/ahmed/learning/r-basics, project-file: /home/ahmed/learning/r-basics, user-msg: system error 5 (Input/output error)]; OCCURRED AT rstudio::core::Error rstudio::core::readStringFromFile(const rstudio::core::FilePath&, std::string*, rstudio::core::string_utils::LineEnding, int, int, int, int) src/cpp/core/FileSerializer.cpp:303; LOGGED FROM: void rstudio::session::projects::startup(const string&) src/cpp/session/projects/SessionProjects.cpp:1087
2024-12-27T05:39:50.644243Z [rsession-ahmed] WARNING ASSERTION FAILED: !posix::pthread_mutex_lock(&m); LOGGED FROM: void rstudio_boost::recursive_mutex::lock() /opt/rstudio-tools/x86_64/boost/boost_1_83_0/include/boost/thread/pthread/recursive_mutex.hpp:108
2024-12-27T05:39:50.645710Z [rsession-ahmed] WARNING ASSERTION FAILED: !posix::pthread_mutex_unlock(&m); LOGGED FROM: void rstudio_boost::recursive_mutex::unlock() /opt/rstudio-tools/x86_64/boost/boost_1_83_0/include/boost/thread/pthread/recursive_mutex.hpp:113
2024-12-27T08:23:37.857640Z [rsession-ahmed] ERROR Handle httpd request error: Error in fetch(key) : |||  lazy-load database '/home/ahmed/anaconda3/envs/renv/lib/R/library/palmerpenguins/help/palmerpenguins.rdb' is corrupt; LOGGED FROM: void rstudio::session::modules::help::{anonymous}::handleHttpdRequest(const string&, const HandlerSource&, const rstudio::core::http::Request&, const Filter&, rstudio::core::http::Response*) [with Filter = rstudio::session::modules::help::{anonymous}::HelpContentsFilter  std::string = std::__cxx11::basic_string<char>  rstudio::session::modules::help::{anonymous}::HandlerSource = rstudio_boost::function<SEXPREC*(const std::__cxx11::basic_string<char>&)>] src/cpp/session/modules/SessionHelp.cpp:984
2024-12-27T08:24:19.988076Z [rsession-ahmed] ERROR Handle httpd request error: Error in fetch(key) : |||  lazy-load database '/home/ahmed/anaconda3/envs/renv/lib/R/library/palmerpenguins/help/palmerpenguins.rdb' is corrupt; LOGGED FROM: void rstudio::session::modules::help::{anonymous}::handleHttpdRequest(const string&, const HandlerSource&, const rstudio::core::http::Request&, const Filter&, rstudio::core::http::Response*) [with Filter = rstudio::session::modules::help::{anonymous}::HelpContentsFilter  std::string = std::__cxx11::basic_string<char>  rstudio::session::modules::help::{anonymous}::HandlerSource = rstudio_boost::function<SEXPREC*(const std::__cxx11::basic_string<char>&)>] src/cpp/session/modules/SessionHelp.cpp:984
2024-12-27T08:24:44.534985Z [rsession-ahmed] ERROR Handle httpd request error: Error in fetch(key) : |||  lazy-load database '/home/ahmed/anaconda3/envs/renv/lib/R/library/palmerpenguins/help/palmerpenguins.rdb' is corrupt; LOGGED FROM: void rstudio::session::modules::help::{anonymous}::handleHttpdRequest(const string&, const HandlerSource&, const rstudio::core::http::Request&, const Filter&, rstudio::core::http::Response*) [with Filter = rstudio::session::modules::help::{anonymous}::HelpContentsFilter  std::string = std::__cxx11::basic_string<char>  rstudio::session::modules::help::{anonymous}::HandlerSource = rstudio_boost::function<SEXPREC*(const std::__cxx11::basic_string<char>&)>] src/cpp/session/modules/SessionHelp.cpp:984
2024-12-27T08:24:51.117253Z [rsession-ahmed] ERROR Handle httpd request error: Error in fetch(key) : |||  lazy-load database '/home/ahmed/anaconda3/envs/renv/lib/R/library/palmerpenguins/help/palmerpenguins.rdb' is corrupt; LOGGED FROM: void rstudio::session::modules::help::{anonymous}::handleHttpdRequest(const string&, const HandlerSource&, const rstudio::core::http::Request&, const Filter&, rstudio::core::http::Response*) [with Filter = rstudio::session::modules::help::{anonymous}::HelpContentsFilter  std::string = std::__cxx11::basic_string<char>  rstudio::session::modules::help::{anonymous}::HandlerSource = rstudio_boost::function<SEXPREC*(const std::__cxx11::basic_string<char>&)>] src/cpp/session/modules/SessionHelp.cpp:984
2024-12-27T08:38:39.656598Z [rsession-ahmed] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(rstudio_boost::shared_ptr<rstudio::session::HttpConnection>, rstudio_boost::function<void()>) src/cpp/session/http/SessionHttpConnectionUtils.cpp:135
2024-12-27T08:38:45.293096Z [rsession-ahmed] ERROR The previous R session terminated abnormally; LOGGED FROM: rstudio::core::Error {anonymous}::rInit(const rstudio::r::session::RInitInfo&) src/cpp/session/SessionMain.cpp:772
2024-12-27T08:38:57.386379Z [rsession-ahmed] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(rstudio_boost::shared_ptr<rstudio::session::HttpConnection>, rstudio_boost::function<void()>) src/cpp/session/http/SessionHttpConnectionUtils.cpp:135
2024-12-27T08:39:05.610054Z [rsession-ahmed] ERROR The previous R session terminated abnormally; LOGGED FROM: rstudio::core::Error {anonymous}::rInit(const rstudio::r::session::RInitInfo&) src/cpp/session/SessionMain.cpp:772
2024-12-28T04:39:56.873446Z [rsession-ahmed] ERROR The previous R session terminated abnormally; LOGGED FROM: rstudio::core::Error {anonymous}::rInit(const rstudio::r::session::RInitInfo&) src/cpp/session/SessionMain.cpp:772
